"1,2-Dichloroethane","1,2-Dimethylbenzene :- {o-Xylene}",Active Aluminium : Dissolved,Alkalinity to pH 4.5 : Grans Plot,Alkalinity to pH 4.5 as CaCO3,Aluminium,"Aluminium, Dissolved",Ammonia un-ionised as N,Ammoniacal Nitrogen : Load,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",Anthracene,Arsenic,"Arsenic, Dissolved",BOD : 5 Day ATU,BOD : 5 Day ATU : Load,Barium,"Barium, Dissolved",Benzene,Benzo(a)Pyrene,Bicarbonate as HCO3,Boron,"Boron, Dissolved",CHLOROPHYLL,Cadmium,"Cadmium, Dissolved",Calcium,"Calcium, Dissolved","Carbon, Organic, Dissolved as C :- {DOC}",Chemical Oxygen Demand :- {COD},Chloride,Chlorine : Total Available,Chlorine : Total Available : Filtered,Chlorine Free as Cl2,Chloroform : Load :- {Trichloromethane},Chloroform :- {Trichloromethane},Chromium,Chromium : Load,"Chromium Hexavalent, Dissolved :- {Cr VI}","Chromium, Dissolved","Colour, Filtered",Conductivity at 25 C,Copper,Copper : BLM Bioavailable,Copper : Load,"Copper, Dissolved",Cyanide : Free as CN,Cypermethrin,Cypermethrin Identification,Deltamethrin,Descriptive Site Inspection : Pass/Fail 1/0,"Detergents, Anionic","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","Dimethylbenzene : Sum of isomers (1,3- 1,4-)",Enterococci: Intestinal: Confirmed: MF,Enterococci: Intestinal: Presumptive: MF,Escherichia coli : Confirmed : MF,Flow : Daily total,"Flow, instantaneous",Fluoranthene,Fluoride,GCMS Screen : Semi-Volatile Screen: Semi Quantitative,HCH -gamma :- {Lindane},"Hardness, Total as CaCO3",Ionic Balance,Ionic Balance: Dissolved,Iron,"Iron, Dissolved",LCMS Screen : Semi Quantitative,Lead,Lead : BLM Bioavailable,"Lead, Dissolved",Lithium,"Lithium, Dissolved",MST Filtration,Magnesium,"Magnesium, Dissolved",Manganese,Manganese : BLM Bioavailable,"Manganese, Dissolved",Mercury,"Mercury, Dissolved",Nickel,Nickel : BLM Bioavailable,"Nickel, Dissolved",Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Kjeldahl as N","Nitrogen, Organic as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Nitrogen, Total as N",No flow /No sample,"Oils, Grease and Fats","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",PCB - 028,PCB - 052,PCB - 101,PCB - 118,PCB - 138,PCB - 153,PCB - 180,PCB : Total,Phenol,Phosphate :- {TIP},"Phosphorus, Total as P",Phytoplankton,Population Equivalent - Calculated,Potassium,"Potassium, Dissolved",Rotenone,Salinity : In Situ,Sample Depth below surface,Sampling Frequency,"Silica, reactive as SiO2","Silicate, Filtered as SiO2",Sodium,"Sodium, Dissolved","Solids, Suspended at 105 C",Strontium,"Strontium, Filtered",Sulphate as SO4,"Sulphate, Dissolved as SO4",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Toluene :- {Methylbenzene},Turbidity,Turbidity : In Situ,"Visible oil or grease, significant trace: Present/Not found (1/0)",Volume of Sample Filtered,Water Depth,Zinc,Zinc : BLM Bioavailable,Zinc : Load,"Zinc, Dissolved",cis-Permethrin,pH,pH : In Situ,trans-Permethrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21294,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.44,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,,57,,,2.00E-05,,0.003,,,,,,,,,,,,,,,,,,,5.2,,6.9,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,,0.001,,,,,0.16,,,,,,0.013,14.2,102.8,,,,,,,,,,,0.017,,,,,,,,,10,,,,,,,,,2.1,,,,,,,,,,,,,,7.9,,
,,,,63,,,3.00E-05,,0.0021,,,,,,,,,,,,,,,,,,,7.7,,7,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,0.001,,,,,0.052,,,,,,0.0081,12.8,101.2,,,,,,,,,,,0.006,,,,,,,,,9.4,,,,,,,,,5.3,,,,,,,,,,,,,,8.15,,
,,,,62,,,3.00E-05,,0.002,,,,,,,,,,,,,,,,,,,3.6,,6.1,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,0.001,,,,,0.078,,,,,,0.0091,12.9,102.6,,,,,,,,,,,0.012,,,,,,,,,10,,,,,,,,,5.5,,,,,,,,,,,,,,8.32,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,11,13,,,,,,,,,,,,,86,1.5,,,1.4,,,,,,,,,,,,,,,,,,,,,,450,,8.4,,5.1,,,,,1.5,,,,,,1.7,,1.4,,,,,,,,,,,,,,,,105.5,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3.3,,,,,,,,,13,,,11,,7.89,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,8.8,11,,,,,,,,,,,,,74,1.8,,,1.6,,,,,,,,,,,,,,,,,,,,,,630,,7.9,,4.1,,,,,1.4,,,,,,1.4,,1.5,,,,,,,,,,,,,,,,102.9,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3.8,,,,,,,,,14,,,12,,7.81,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,14,7.7,,,,,,,,,,,,,105,1.2,,,1,,,,,,,,,,,,,,,,,,,,,,230,,4.4,,2,,,,,1.5,,,,,,2,,1.8,,,,,,,,,,,,,,,,102.3,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,4.5,,,,,,,,,12,,,9.6,,7.73,,
,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.24,,11,13,,,,,,,,,,,,,104,2.2,,,1.6,,,,,,,,,,,,,,,,,,,,,,500,,25,,20,,,,,1.4,,,,,,1.9,,1.7,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,6.1,,,,,,,,,97,,,87,,7.91,,
,,,,,,,,,1.2,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27905,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0821,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14949,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.24,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.23,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28020,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,40,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,33,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,38,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,39,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,580,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,310,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,340,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,530,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,180,13,10,,,0.03,,,,,,,39,37,,,,100,100,,14,14,92,92,,,4.7,,,,,,0.5,,,0.5,,674,1.1,,,1,,,,,,,,,,,,,,,0.74,,,329,-3.45,,42,30,,27,,18,100,100,,25,24,170,,170,,,38,,39,,,0.004,,,,,0.2,,,,,,0.01,11.14,100.3,,,,,,,,,,,,,,5.7,5.6,,,,,6.8,,9,8.8,3.5,570,550,190,,9.2,,,,,,,,,8400,,,8500,,8.2,8.34,
,,,,170,15,13,,,0.03,,,,,,,38,37,,,,100,100,,14,14,89,92,,,5.1,,,,,,0.5,,,0.5,,668,1.9,,,1,,,,,,,,,,,,,,,0.72,,,329,-4.07,,43,30,,25,,17,100,100,,24,24,170,,170,,,38,,38,,,0.004,,,,,0.2,,,,,,0.01,,101.1,,,,,,,,,,,,,,5.5,5.6,,,,,6.6,,8.4,8.7,3,550,560,190,,9.2,,,,,,,,,8600,,,8900,,8.2,8.29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,8,
,,,,,,,,,0.44,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.6,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.5,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.3,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.3,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.84,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32668,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,3.2,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.28,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.3,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.91,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.29,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
